dataset,layer,head,pearson_PAM,pearson_QAM,pearson_SAM,spearman_PAM,spearman_QAM,spearman_SAM
alpaca,1,4,0.25985185460788995,-0.24959393928361617,-0.10336648016411285,0.35186577527449836,-0.33833247622547924,-0.02706659809803833
alpaca,1,5,0.25669364006256057,-0.24889339318023085,0.044617487246502725,0.32479917717646,-0.32479917717646,0.02706659809803833
alpaca,1,6,0.31031777263289717,-0.2779058425336012,-0.05665543498635659,0.36539907432351754,-0.35186577527449836,0.0
alpaca,1,7,0.2986590036533753,-0.2775338529280474,-0.2744908024998949,0.32479917717646,-0.28419928002940253,-0.14886628953921086
alpaca,1,8,0.3061023707362934,-0.28716040136137305,-0.03665336212243644,0.35186577527449836,-0.33833247622547924,-0.0405998971470575
alpaca,1,9,0.2809315330628242,-0.2713144841802015,-0.10119412537232858,0.35186577527449836,-0.35186577527449836,-0.06766649524509584
alpaca,1,avg,0.28025950922326215,-0.2637503602146193,-0.05643777992804347,0.32479917717646,-0.32479917717646,-0.081199794294115
alpaca,2,0,0.2547536389761634,-0.20522142958864367,-0.00021275188769515177,0.28419928002940253,-0.243599382882345,-0.02706659809803833
alpaca,2,1,0.27887916805118074,-0.266328324987848,-0.235310110015581,0.16239958858823,-0.16239958858823,-0.18946618668626836
alpaca,2,10,-0.04769188405349141,0.005090959456404278,0.3503419748698899,0.0,-0.1217996914411725,0.3924656724215559
alpaca,2,11,0.34007132829363435,-0.3298087607742933,0.17115623867503638,0.40599897147057507,-0.3924656724215559,0.2571326819313642
alpaca,2,12,0.21660698160377037,-0.21100817502848748,0.11454568980595335,0.2977325790784217,-0.32479917717646,0.06766649524509584
alpaca,2,13,0.057902982755805216,-0.06827962586883507,0.0694256291269585,0.16239958858823,-0.20299948573528753,-0.013533299049019166
alpaca,2,14,0.10137771098078466,-0.10738424841807787,0.3226183549129247,0.2571326819313642,-0.2571326819313642,0.33833247622547924
alpaca,2,15,0.346235787521398,-0.3613890784015188,0.09998399212666514,0.28419928002940253,-0.28419928002940253,0.05413319619607666
alpaca,2,16,0.3282329341449949,-0.3025572814489817,0.1058926253081065,0.243599382882345,-0.21653278478430665,0.09473309334313418
alpaca,2,17,0.12222277521665177,-0.16113941082563646,0.07922660221272837,0.10826639239215333,-0.243599382882345,0.10826639239215333
alpaca,2,18,-0.022675398200501608,-0.16944571006716574,0.14069308003151867,0.0,-0.06766649524509584,0.10826639239215333
alpaca,2,19,0.2555965934031467,-0.22590778250765225,-0.03491588401529412,0.20299948573528753,-0.31126587812744083,-0.09473309334313418
alpaca,2,2,0.3170404574296091,-0.3381170725629583,0.05275113845057809,0.06766649524509584,-0.2571326819313642,0.0405998971470575
alpaca,2,20,0.4557890753207755,-0.43124498965905417,0.15803961526733523,0.35186577527449836,-0.33833247622547924,0.10826639239215333
alpaca,2,21,0.10128733201997824,-0.10861472557041119,0.3678768464295651,0.16239958858823,-0.14886628953921086,0.243599382882345
alpaca,2,22,0.07443264954507879,-0.0763251798440787,0.1010621499356107,0.18946618668626836,-0.18946618668626836,0.10826639239215333
alpaca,2,23,0.1511936443973244,-0.1535635202918908,0.231520056806689,0.21653278478430665,-0.21653278478430665,0.18946618668626836
alpaca,2,24,0.10761634409744025,-0.3138179474328671,0.1393821527082572,0.09473309334313418,-0.27066598098038336,0.06766649524509584
alpaca,2,25,0.14211989145987594,-0.1441682934142249,0.09281969669644861,0.20299948573528753,-0.20299948573528753,0.1217996914411725
alpaca,2,26,0.11127918454222296,-0.12224487810485947,0.20666863694734655,0.18946618668626836,-0.20299948573528753,0.21653278478430665
alpaca,2,27,0.19515507268626148,-0.19768495514957043,0.24349256813924924,0.16239958858823,-0.16239958858823,0.23006608383332589
alpaca,2,28,0.10330350728784136,-0.14139798850134586,0.2537943578077838,0.18946618668626836,-0.2571326819313642,0.20299948573528753
alpaca,2,29,0.34624723963784176,-0.3252138368083454,0.021383245552556416,0.40599897147057507,-0.40599897147057507,0.0405998971470575
