dataset,layer,head,PAM,QAM,SAM
alpaca,6,19,0.8398404723405838,0.10595690108835697,0.029201557957567275
alpaca,6,2,0.9472420388460159,0.03480076600797474,0.00740026033250615
alpaca,6,20,0.9800586372613906,0.014979054823052139,0.004583562645711936
alpaca,6,21,0.9184947228431701,0.054911391022615136,0.009457805529236793
alpaca,6,22,0.7103064254671335,0.2464726571459323,0.02049899071222171
alpaca,6,23,0.92868128657341,0.04048129805363715,0.012796412226743997
alpaca,6,24,0.9599116885662079,0.02588265734259039,0.008270758802536875
alpaca,6,25,0.9361344021558762,0.04103116365149617,0.017372310896753333
alpaca,6,26,0.9812193536758422,0.016551502062939108,0.0011724921222776175
alpaca,6,27,0.764262153506279,0.14322175886482,0.08406358566135168
alpaca,6,28,0.9351994466781616,0.04447312590666115,0.0031931110602454282
alpaca,6,29,0.7361532026529312,0.17995081823319198,0.024516322067938745
alpaca,6,3,0.9690867298841477,0.02789339381735772,0.001587237898784224
alpaca,6,30,0.9053071600198745,0.06445359353092499,0.02228977787133772
alpaca,6,31,0.9407206609845161,0.05086348776705563,0.0020799394833738915
alpaca,6,4,0.8389317095279694,0.07552197244018316,0.030098887300118803
alpaca,6,5,0.6993636572360993,0.2440204706788063,0.04457828645478003
alpaca,6,6,0.9641366022825241,0.02269111043540761,0.004315937032224611
alpaca,6,7,0.9529983395338059,0.027193490294739605,0.010294177017640323
alpaca,6,8,0.8902357196807862,0.09540429395157844,0.008926786748634185
alpaca,6,9,0.9592368459701538,0.022976685058420116,0.016879941646475344
alpaca,7,0,0.9224742770195007,0.03671307815704495,0.012712381179444492
alpaca,7,1,0.7509185510873795,0.11403635956346989,0.12144116371870041
alpaca,7,10,0.9983908176422119,0.0014446420123658754,0.00013241588666460303
alpaca,7,11,0.9626564109325408,0.03159789473284036,0.002453079670558509
alpaca,7,12,0.9930848205089569,0.004738588609106955,0.0014951377286706701
alpaca,7,13,0.9396470475196839,0.03294742555357516,0.01643057801411487
alpaca,7,14,0.9439119696617126,0.017024586186744274,0.003775900775799528
alpaca,7,15,0.672110330760479,0.1636090849386528,0.10231015589088202
alpaca,7,16,0.5858236113935709,0.17181485278531908,0.02627792572719045
alpaca,7,17,0.9035959839820862,0.04612782195210457,0.013244532481767237
alpaca,7,18,0.9532367652654647,0.03025363785214722,0.0051252548425691205
alpaca,7,19,0.9396832931041718,0.03896704000420868,0.009281492195441388
alpaca,7,2,0.8881597644090653,0.07896714427508414,0.019985052687115968
alpaca,7,20,0.9193052345514298,0.03850006132386625,0.012411849723430351
alpaca,7,21,0.8775327226519585,0.044428628724999725,0.02637616225401871
alpaca,7,22,0.5698922664672136,0.3555620551481843,0.032983801290392877
alpaca,7,23,0.9586546689271926,0.030481788394972682,0.007242458453984
alpaca,7,24,0.9556741815805435,0.03447325538378209,0.0069416151604673355
alpaca,7,25,0.9195582842826844,0.04815197562798858,0.010047205018345266
alpaca,7,26,0.9616277611255646,0.03059091654140502,0.005862117121869233
alpaca,7,27,0.8410402557998896,0.1333525115903467,0.011386941466480494
alpaca,7,28,0.8812947452068329,0.08966354569376563,0.023258223175653257
alpaca,7,29,0.9640266412496566,0.023476157675031573,0.005628685367410072
alpaca,7,3,0.981142213344574,0.013130943847354502,0.003405776233994402
alpaca,7,30,0.8316431421041489,0.06919324405491352,0.05163349227048457
alpaca,7,31,0.9382356643676758,0.04955614330712706,0.009020780382852535
alpaca,7,4,0.9804078793525696,0.012044449987006373,0.0044657449642545545
alpaca,7,5,0.939983229637146,0.03758782028220594,0.00947046876186505
alpaca,7,6,0.7006602990627289,0.0356858476519119,0.24945652194321155
alpaca,7,7,0.894136700630188,0.07241739735007285,0.020800047363154592
alpaca,7,8,0.9124405270814896,0.05962084270082414,0.00963755486998707
alpaca,7,9,0.42453503981232643,0.5150272576510906,0.0488194062653929
alpaca,8,0,0.8438402995467186,0.11936612468212843,0.0213289380306378
alpaca,8,1,0.9218651878833771,0.06303530806209892,0.007928933143266476
alpaca,8,10,0.7366479235887528,0.19338186927139758,0.0438295451272279
alpaca,8,11,0.784857281446457,0.11959498167037964,0.03728462274186313
alpaca,8,12,0.6398214395344257,0.2864402955956757,0.05293628953397274
alpaca,8,13,0.9239400339126587,0.032682973723858595,0.009552622504997998
alpaca,8,14,0.8024000185728073,0.09662942089140415,0.020178877203725278
alpaca,8,15,0.6256570276618004,0.34781029565259813,0.018513961934950203
alpaca,8,16,0.833207790851593,0.09986506519839168,0.03982219229452312
alpaca,8,17,0.9447059607505799,0.03850251232273877,0.007234102347865701
alpaca,8,18,0.9722260844707489,0.022941466564079745,0.0020481596019817517
alpaca,8,19,0.9391251724958419,0.0383974391547963,0.01267651682253927
alpaca,8,2,0.8948302572965622,0.08418624270707369,0.005952043857687386
alpaca,8,20,0.7711137491464615,0.15552956508472562,0.06300635243067518
alpaca,8,21,0.727084887623787,0.13746616419404745,0.12374612927436829
alpaca,8,22,0.875481550693512,0.06155165774747729,0.02892460276838392
alpaca,8,23,0.9478261280059814,0.03595529655693099,0.00235685706109507
alpaca,8,24,0.9320164275169373,0.035372000052593645,0.008050274535780772
alpaca,8,25,0.8950908434391022,0.024026480675674974,0.06065593119594268
alpaca,8,26,0.9727932620048523,0.022776263882897184,0.0030961398167710288
alpaca,8,27,0.9158288156986236,0.04234047336969524,0.015083964989171363
alpaca,8,28,0.8736826708912849,0.07411588531918824,0.03371353327878751
alpaca,8,29,0.7806516641378403,0.06789717104285956,0.024416406052187086
alpaca,8,3,0.9486009573936462,0.012538147755258251,0.009753401492489502
alpaca,8,30,0.9504893016815186,0.03796580259921029,0.0062800906191114335
alpaca,8,31,0.980407961010933,0.011151976116234436,0.006796269860715256
alpaca,8,4,0.9223377555608749,0.03173534543719143,0.02602823927765712
alpaca,8,5,0.9076875287294388,0.07366925948299467,0.009254196026886348
alpaca,8,6,0.944693044424057,0.030324233912397178,0.006460455509222811
alpaca,8,7,0.8348965702950955,0.09906753262504936,0.050749756009317935
alpaca,8,8,0.8812949568033218,0.09897653015330433,0.012557010203599929
alpaca,8,9,0.8327326175570487,0.08123274302110076,0.018114528101868928
alpaca,9,0,0.8571143102645874,0.06766443459317088,0.024123461850686
alpaca,9,1,0.9496587008237839,0.03879619592335075,0.007416131163481623
alpaca,9,10,0.905070798099041,0.06599821866024286,0.010629178253002464
alpaca,9,11,0.7144001790881157,0.14251992490142584,0.1173083296790719
alpaca,9,12,0.8240937870740891,0.10695636428892613,0.029689208324998616
alpaca,9,13,0.6813337033987046,0.1805949442833662,0.11219993337988854
alpaca,9,14,0.8999740618467331,0.07821383500471711,0.014897998212836683
alpaca,9,15,0.9024035632610321,0.04847864718176424,0.012049168555531651
alpaca,9,16,0.6731467753648758,0.2881874939799309,0.031021834169514477
alpaca,9,17,0.9352502247691155,0.046259988257661463,0.00850113142922055
alpaca,9,18,0.6709531219303608,0.2624182002712041,0.026088529652915894
alpaca,9,19,0.6595706323534251,0.3095110767986625,0.020005536577664317
alpaca,9,2,0.742876113653183,0.20030802849680185,0.03618554766755551
alpaca,9,20,0.9118536174297333,0.03898977200966328,0.012347354060038925
alpaca,9,21,0.8743962007761001,0.06886483714333735,0.03329483537352644
alpaca,9,22,0.8981867855787278,0.03541648105718195,0.021886019327212125
alpaca,9,23,0.9516660493612289,0.02615047845989466,0.015391116112004966
alpaca,9,24,0.8938597697019577,0.07728253671899438,0.008008890664204954
alpaca,9,25,0.9484035187959671,0.031902556880377235,0.009995369674870745
alpaca,9,26,0.9644022250175476,0.01632999072317034,0.0038559493212233066
alpaca,9,27,0.6131935623288155,0.30722183220088484,0.05628556811250746
alpaca,9,28,0.6100481080263853,0.29883122876286505,0.036871916353702544
alpaca,9,29,0.9343177801370621,0.03494076718110591,0.010948876393958926
alpaca,9,3,0.958908093571663,0.01971722043119371,0.007795881064957939
alpaca,9,30,0.8638526582717896,0.07435088179074228,0.02136006433516741
alpaca,9,31,0.7039483762532472,0.22212072271853686,0.024635976527351885
alpaca,9,4,0.7813641619682312,0.13052218440920116,0.07603935591876507
alpaca,9,5,0.9141240242123604,0.06697209611535072,0.011305821217538323
alpaca,9,6,0.6894968914985656,0.15072966827079654,0.07272296182811261
alpaca,9,7,0.8213665568828583,0.11180113455280662,0.019342098868219183
alpaca,9,8,0.8721105062961578,0.051279256357811394,0.0118492774059996
alpaca,9,9,0.5835289729014039,0.3961437579896301,0.00940786121354904
alpaca,10,0,0.8383887673914433,0.09346809128299355,0.022822720329277218
alpaca,10,1,0.4584975527226925,0.11198714308440685,0.42405240297317504
alpaca,10,10,0.9621740198135376,0.02420026039239019,0.004714439587696688
alpaca,10,11,0.8334438076615334,0.12615296852774918,0.027495118237566202
alpaca,10,12,0.8670503997802734,0.08576182807330042,0.015241501005366444
alpaca,10,13,0.9310654520988464,0.0455082251271233,0.011704148325952702
alpaca,10,14,0.8623386439681053,0.1250882110139355,0.005736235212243628
alpaca,10,15,0.8110170531272888,0.1356641223281622,0.021988719352521002
alpaca,10,16,0.9164214712381363,0.05225517636630684,0.009948758762329818
alpaca,10,17,0.8226053142547607,0.08572215568274259,0.031038716807961463
alpaca,10,18,0.8468464383482933,0.10535900048911571,0.03169444155180827
alpaca,10,19,0.9462059432268143,0.024438964403816498,0.007152469560387544
alpaca,10,2,0.7487180802226067,0.17313123431056737,0.04354690345004201
alpaca,10,20,0.9431894725561142,0.03810659014619887,0.006487140340032056
alpaca,10,21,0.9437637066841126,0.02639618145301938,0.006485061556450091
alpaca,10,22,0.8442471992969512,0.09839497409760951,0.03876996522769332
alpaca,10,23,0.9241459482908249,0.02479003580316203,0.014171695443801582
alpaca,10,24,0.9052494728565216,0.03544728352222592,0.010978778335265815
alpaca,10,25,0.511610950678587,0.2965953351557255,0.09996018486097455
alpaca,10,26,0.9000677287578582,0.0802224169112742,0.0065168931940570475
alpaca,10,27,0.9020515948534011,0.04502635982818901,0.00841671448550187
alpaca,10,28,0.6690315696597099,0.22164490073919296,0.035700761331245306
alpaca,10,29,0.739899780973792,0.2263796071941033,0.027166238860227166
alpaca,10,3,0.5112835566699505,0.37957909554243086,0.06708263257518411
alpaca,10,30,0.8853580379486083,0.062111287650186565,0.015464438493363559
alpaca,10,31,0.7831453981995583,0.1197332234494388,0.02108732422348112
alpaca,10,4,0.8328712856769562,0.043271089056506756,0.017772021126002072
alpaca,10,5,0.7457785600423813,0.09919769687578082,0.04272469299379736
alpaca,10,6,0.789014015942812,0.14207264496013522,0.019779594014398754
alpaca,10,7,0.858613809645176,0.10168422298505903,0.0109939081245102
alpaca,10,8,0.8471695512533188,0.10601538520306349,0.010254569896496833
alpaca,10,9,0.8088105208054185,0.15939139971509575,0.013313914367172401
alpaca,11,0,0.8045347630977631,0.06968397146090866,0.03482674887403846
alpaca,11,1,0.8906245559453965,0.06829092185245828,0.014041769150644541
alpaca,11,10,0.8276946483552456,0.12490474876016379,0.03286714955698699
alpaca,11,11,0.859036332666874,0.09461471034679562,0.02072042373707518
alpaca,11,12,0.9569318759441375,0.013414179518586025,0.011213528742082417
alpaca,11,13,0.8448013147711754,0.13497178855352104,0.011765975104644895
alpaca,11,14,0.9796698361635208,0.008712720506009646,0.0033599613836850038
alpaca,11,15,0.9485446137189865,0.03712164571072208,0.011514046301308554
alpaca,11,16,0.6907702531665564,0.27625977842137217,0.022006374229677023
alpaca,11,17,0.8975489127635956,0.05908293663524091,0.01661421834025532
alpaca,11,18,0.910638535618782,0.05254088293295354,0.03140914152492769
alpaca,11,19,0.9134809297323226,0.04869885058142245,0.011784374088747426
alpaca,11,2,0.9727780705690384,0.018981802805355982,0.007660215723735746
alpaca,11,20,0.6859405359625816,0.12127550847828389,0.05139660053886473
alpaca,11,21,0.7081995472311974,0.19324504472315313,0.07031723726540803
alpaca,11,22,0.9301703834533691,0.0554486864071805,0.007367740953632165
alpaca,11,23,0.9674062144756317,0.02594616843154654,0.0040079166629584505
alpaca,11,24,0.6829366023652256,0.25413369058631363,0.029243136537261308
alpaca,11,25,0.9067094326019287,0.040133812811691316,0.016146808912744746
alpaca,11,26,0.94344018638134,0.03631314209196716,0.00878393197664991
alpaca,11,27,0.7088191936910152,0.20125632289797069,0.04056468246737495
alpaca,11,28,0.7186150047928095,0.13353270308114587,0.0626970254117623
alpaca,11,29,0.6820733055472374,0.23918788528069854,0.04721578103490174
alpaca,11,3,0.920357209444046,0.04921414688229561,0.015162133420235478
alpaca,11,30,0.9476901370286942,0.029705992245581,0.007703262036666274
alpaca,11,31,0.9288402915000915,0.04221593224676326,0.009301013470394536
alpaca,11,4,0.7372635853290558,0.13588979559019207,0.08554314671084284
alpaca,11,5,0.9425325900316238,0.04410798521945253,0.004914532440016046
alpaca,11,6,0.64985939219594,0.1376543720252812,0.1849161509051919
alpaca,11,7,0.838790910243988,0.0888050588965416,0.02034810361685231
alpaca,11,8,0.9542639476060867,0.03515730624087155,0.0064950755017343905
alpaca,11,9,0.9475980865955352,0.040411726508755234,0.003255266833875794
alpaca,12,0,0.6714615316689014,0.20684340741485358,0.09113106407225131
alpaca,12,1,0.8721943092346192,0.09984183482825756,0.008327314419439062
alpaca,12,10,0.782899757027626,0.14660945253446697,0.04663950372487306
